ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60601,21,05/23/2021,05/29/2021,3,1100,20,7495.7,454,29444,3094,200640.5,0.0,0.0,0,12,0.0,81.8,14675,60601-2021-21,POINT (-87.622844 41.886262)
60603,21,05/23/2021,05/29/2021,1,81,85,6899.5,53,2834,4514,241396.9,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-21,POINT (-87.625473 41.880112)
60606,21,05/23/2021,05/29/2021,2,326,64,10512.7,179,9512,5772,306739.8,0.0,0.1,0,3,0.0,96.7,3101,60606-2021-21,POINT (-87.63676 41.882634)
60604,20,05/16/2021,05/22/2021,0,109,0,13938.6,238,4003,30435,511892.6,0.0,0.0,0,0,0.0,0.0,782,60604-2021-20,POINT (-87.629029 41.878153)
60607,21,05/23/2021,05/29/2021,5,2691,17,9094,897,68167,3031,230364,0.0,0.0,0,9,0.0,30.4,29591,60607-2021-21,POINT (-87.652727 41.876104)
60609,34,08/16/2020,08/22/2020,79,2293,128,3728.8,1384,17367,2251,28241.3,0.1,0.1,1,79,1.6,128.5,61495,60609-2020-34,POINT (-87.653382 41.812017)
60609,35,08/23/2020,08/29/2020,66,2359,107,3836.1,1219,18586,1982,30223.6,0.1,0.1,0,79,0.0,128.5,61495,60609-2020-35,POINT (-87.653382 41.812017)
60610,21,05/23/2021,05/29/2021,10,3565,26,9136.6,1153,74674,2955,191378.6,0.0,0.0,0,32,0.0,82.0,39019,60610-2021-21,POINT (-87.63581 41.90455)
60611,52,12/20/2020,12/26/2020,41,1570,126,4841.8,1224,32343,3775,99744,0.0,0.1,1,10,3.1,30.8,32426,60611-2020-52,POINT (-87.620291 41.894734)
60611,10,03/07/2021,03/13/2021,26,2005,80,6183.3,1261,45048,3889,138925.6,0.0,0.0,0,14,0.0,43.2,32426,60611-2021-10,POINT (-87.620291 41.894734)
60611,11,03/14/2021,03/20/2021,39,2044,120,6303.6,1370,46418,4225,143150.6,0.0,0.0,1,15,3.1,46.3,32426,60611-2021-11,POINT (-87.620291 41.894734)
60611,12,03/21/2021,03/27/2021,45,2089,139,6442.4,1079,47497,3328,146478.1,0.0,0.0,0,15,0.0,46.3,32426,60611-2021-12,POINT (-87.620291 41.894734)
60611,13,03/28/2021,04/03/2021,46,2135,142,6584.2,1335,48832,4117,150595.2,0.0,0.0,0,15,0.0,46.3,32426,60611-2021-13,POINT (-87.620291 41.894734)
60611,21,05/23/2021,05/29/2021,9,2300,28,7093.1,813,57558,2507,177505.7,0.0,0.0,0,16,0.0,49.3,32426,60611-2021-21,POINT (-87.620291 41.894734)
60612,25,06/14/2020,06/20/2020,7,717,20,2089.7,441,4910,1285,14310.3,0.0,0.2,0,25,0.0,72.9,34311,60612-2020-25,POINT (-87.687011 41.88004)
60614,42,10/11/2020,10/17/2020,122,1526,171,2140,3014,39141,4227,54890.1,0.0,0.0,0,72,0.0,101.0,71308,60614-2020-42,POINT (-87.652064 41.922605)
